"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"SRR14634300","normal",6.32140868924338,2.65112725747177,1.49732146232584,2.37808468007496,1.22460014211709
"TCGA.85.A4CL.01A.41H.A26V.13","tumor",5.53201752638666,2.91795390172039,1.96082832648835,1.70624637831012,1.12410276821989
"TCGA.94.8490.01A.11H.2325.13","tumor",5.49715369106287,2.40241955077929,1.80666534890366,2.08196495330327,1.30439735442087
"TCGA.37.4130.01A.01T.1557.13","tumor",5.30428375622854,4.25350830982511,2.37202080815231,2.69445438351848,2.11706387278722
"SRR14634320","tumor",5.35880223790225,4.23298613980809,3.6504662429026,4.26624764544959,1.65287623934957
"TCGA.33.4538.01A.01T.1517.13","tumor",5.76629453817282,4.83834895126411,3.07620313653386,2.39142808711644,2.07244807916327
"TCGA.55.6969.01A.11H.1948.13","tumor",6.08541766956646,4.34162091776456,2.92417247378389,2.35449244577978,1.0697205744446
"TCGA.50.5072.01A.21H.1857.13","tumor",6.06116822568095,2.37573282037497,0.879882526641466,2.17044009232625,1.03247719758853
"TCGA.77.8146.01A.11H.2246.13","tumor",5.88627373667887,3.00034789808882,2.20395858783087,3.22237040899328,2.7293359663506
"TCGA.49.6743.01A.11H.1857.13","tumor",6.14276697974038,2.85422858293387,2.35055308824689,3.35768605966938,2.8334816562341
"SRR14634352","tumor",5.80259120759315,2.74491213484223,1.89037535006308,2.22532283166953,1.25283520266475
"SRR14634341","tumor",5.3670510144819,2.4784268807695,2.17661116587443,2.42528653247939,1.44618196108047
"SRR6757390","tumor",2.71140476823467,1.99020890712089,1.54337892173806,2.23288839577419,1.34608887295504
"SRR14634295","normal",6.11491743430087,2.56873206648211,0.966663664287431,1.23323675394651,1.15195699660919
"TCGA.91.8499.01A.11H.2402.13","tumor",4.86888544496555,2.73233457694107,2.85835198168658,2.94449340124847,1.63880995485373
"TCGA.58.8387.01A.11H.2295.13","tumor",6.01139139166805,3.7682223214044,3.06976998072694,3.02601084122145,2.85783328339059
"TCGA.97.A4M7.01A.11H.A24S.13","tumor",5.18404045838772,2.77632093435868,0.874463548589544,0.66470197916559,0.639712951836793
"SRR14634298","normal",6.23431398147203,3.28103308889654,1.66086254542177,2.98063611420584,1.17951901428802
"TCGA.44.7670.01A.11H.2065.13","tumor",5.76100414603723,2.00437409709356,1.69142325642674,2.33588157637515,1.60356387253784
"SRR14634316","tumor",5.57563761483835,2.36642769786079,1.81933786851887,1.4902782415122,1.28551791785933
"SRR6757397","normal",7.48955960453723,3.07330224405341,1.59955495666572,2.21594281814439,1.34616039342211
"TCGA.44.6777.11A.01H.2169.13","normal",5.71865224695051,1.43226260025377,0.877495536362262,0.933839553051384,-0.27896860301788
"SRR14634282","normal",6.19519620062417,1.76543269186144,0.836408587525197,1.16675525684114,1.14136748424025
"SRR14634305","normal",6.15669452709112,3.19038537580119,1.74243624503151,2.63146462323604,1.19074456449824
"SRR6757410","tumor",6.0893816180689,3.43185694265641,1.97502006763992,2.47068234871718,1.34942383404632
"TCGA.58.8390.01A.11H.2325.13","tumor",4.79725204509156,2.45538059049159,1.39629632850938,1.64926690909583,1.16934673790315
"SRR6757468","tumor",4.94541843405616,3.15582391316611,1.84449741384838,2.28616570767182,1.35305625073691
"TCGA.34.7107.11A.01H.2124.13","normal",5.59098368533602,2.83174944656087,1.96446753857622,1.92768876893004,1.6459024245669
"TCGA.66.2765.01A.01T.1557.13","tumor",5.53681737754612,4.14174042922192,3.19001997886417,2.84376854886367,3.07510041315474
