"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.131631","piR.hsa.138412","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2826866","piR.hsa.2826956","piR.hsa.2831324","piR.hsa.2833690","piR.hsa.2838249","piR.hsa.2851625","piR.hsa.2851799"
"TCGA.37.4135.01A.01T.1557.13","tumor",4.83506672660884,3.86689488429354,4.23316651856504,3.93603358868933,2.48595311160813,2.75584972393397,1.72353977455127,1.69921957954637,2.51282769827384,2.81118076722514,2.2876952501894,2.20788337034727,2.04628267264502
"SRR6757375","normal",6.36692012820979,3.09231818299968,5.88749816665716,5.44523780873396,1.72800598467495,2.22728987059671,1.2675373858728,1.31585371668655,1.78548614613623,4.04923831919959,1.58592563276956,3.06924532158107,1.34894074421547
"TCGA.80.5607.01A.31H.1948.13","tumor",6.52425916257668,2.56434111075066,5.93014386481674,5.63301093494103,2.15287015318231,2.81882469880493,1.23533591792074,1.38045388413231,2.1706144398538,4.50865926574072,1.94827437155884,3.90456019978819,1.56753675542539
"TCGA.44.A4SS.01A.11H.A24S.13","tumor",5.36441450919273,2.34315471321713,4.7396443486637,4.44251141878799,1.68857012462564,1.50261900576502,1.08538178641773,1.17454688028332,1.69286616833667,3.31790245781756,1.46721616221892,2.71421499917705,0.870499795813384
"TCGA.43.6771.01A.11H.1819.13","tumor",5.5677107386404,2.79669182114071,4.99169642475032,4.69456349487461,2.40796851637482,3.80920991722552,2.41525101594812,2.38313113796673,2.43248526054122,3.57003691067875,2.2066117605381,2.96621767516781,2.22685662736982
"SRR14634254","normal",4.98265062514091,3.27911775553666,4.12804419556568,3.75502389272291,1.29200927980943,1.81626837061305,0.976748919329158,0.870162352967045,1.29685772228605,2.88522022141648,1.20850355740156,2.06534550634334,1.14136748424025
"TCGA.44.A47G.01A.21H.A24G.13","tumor",6.00176267005427,2.96098668994356,5.40939374242677,5.11226081255105,1.14716709445135,1.05919813327685,1.15149231614361,1.14297536644231,1.12802281550285,3.9878323367877,0.895724024922514,3.38385615021882,1.44681413593908
"SRR14634366","tumor",5.89325898643128,3.73305878598746,5.20601866584872,5.09081686594608,2.39309528795295,2.8740984069071,2.32672281440762,2.31026446369298,2.42532866797574,4.23287641998502,2.44241149756657,4.05645225999492,1.32166061384348
"SRR6757456","tumor",3.32823865520692,2.12914011882033,3.63346381672092,3.88733055232222,1.96637679329679,2.29526399264482,1.49358826820889,1.53789902264634,1.98342494526041,3.33908539504569,1.77157596459097,3.07567951844026,1.37186835988447
"SRR6757398","tumor",4.86853094117294,3.39523217266483,4.23497837073776,4.27213075023029,2.14916015018208,2.26039783303533,1.44866380675166,1.42305429939255,2.21097658583344,3.56877899276761,1.84203913056886,3.12000098558295,1.35187778465716
"SRR6757449","normal",6.60257475340881,3.46238779994961,5.93909988181818,5.52285357082189,1.80877488564178,2.3950239311016,1.34168311910905,1.36070172464681,1.87300509676466,4.22309996801049,1.66544102516967,3.22488587886064,1.35919946788391
"TCGA.38.A44F.01A.11H.A24G.13","tumor",6.04251691784646,2.50588149986659,5.4575148441144,5.16035027035805,0.965683042723644,0.69710641447725,0.491797937677458,0.481177140429164,0.931276607949349,4.03593067875223,0.695611033281041,3.43194027910676,0.0274456450689727
"TCGA.34.5241.01A.01T.1442.13","tumor",5.79336594882697,3.04887140394231,5.20572039312349,4.90858746324778,3.05752456220221,3.57511783153067,2.00547934023159,2.02288670825198,3.09485597144833,3.78411624203023,2.86613520993917,3.18020843954896,2.38478481877047
"SRR14634303","normal",6.37837259057784,2.7724939950628,5.52058437625094,5.28594456749418,1.23434816301538,2.56239742338479,1.4388878562657,1.39347779402284,1.17299375812273,3.37480520706405,1.25758233605983,2.65259071674657,1.15675500579566
"TCGA.18.4721.01A.01T.1442.13","tumor",5.3484781626291,2.91851568982119,4.73674193852564,4.43960900864993,2.25243941695279,3.40715127500297,1.5992263182095,1.63893225545605,2.28295243613201,3.31499897293504,2.06118552633076,2.71131323350383,1.86159687134121
"TCGA.63.5128.01A.01T.1442.13","tumor",6.0089754761888,3.6524031582651,5.39586949213673,5.09873656226102,3.07103245596895,3.82378514009394,2.19328394711093,2.16887795767857,3.10112961343119,3.97430551004145,2.87510019927652,3.37033344533146,2.45483150537761
"SRR6757373","normal",6.36817730381985,3.34903136031745,5.9914081441384,5.51045011203387,1.80357016964886,2.22113787218769,1.33089275795701,1.33088667249934,1.85236092790071,4.02569197302316,1.6746025087776,3.07939985546245,1.3497886681019
"TCGA.56.8082.11A.01H.2246.13","normal",6.57909433913263,1.20614354787846,6.00386808422823,5.70673515435252,0.634181097885192,1.36719385741154,0.385581936214045,0.337747448912841,0.562672607569008,4.58239147382203,0.318555137799479,3.97827962682904,-0.230069535444443
"SRR6757385","normal",5.27613003543729,2.45321176202671,4.99004639182378,4.78048399481449,1.67875869742519,2.31776670882749,1.25535543504166,1.26332883421849,1.73267296178842,3.68653205733188,1.56109529720473,3.07268075948942,1.35087596793358
"TCGA.18.3414.01A.01T.0981.13","tumor",4.93655730773006,4.0758619611652,4.30035232923264,4.00321939935693,1.74974751332332,0.764298208012759,1.33895732646916,1.23344865249008,1.76447241420967,2.87840645683193,1.53942541548478,2.27504527636213,1.13831512765887
"TCGA.55.7281.01A.11H.2038.13","tumor",5.39654012883905,2.11696109107872,4.81770305594108,4.52057012606537,1.19435903636142,2.15363536134758,1.3445663816059,1.27323450288079,1.16474512388055,3.39598892967708,0.93300353714669,2.79225705718508,1.40426196083062
"TCGA.93.7348.01A.21H.2038.13","tumor",5.34391291321447,2.35363365537506,4.76212397962825,4.46499104975254,0.890949212482413,2.11134102480503,0.662258960018882,0.677610588145293,0.827475701202142,3.34039030800849,0.543583775683037,2.7366897014892,0.496424704837634
